@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
205,52,98,6,132,0.043478,0.346667,0.896552,0.346667,0.103448,0.5,0.201389,1.721379,0.913269
206,51,99,6,132,0.043478,0.34,0.894737,0.34,0.105263,0.492754,0.197917,1.717895,0.913484
207,50,100,6,132,0.043478,0.333333,0.892857,0.333333,0.107143,0.485437,0.194444,1.714286,0.914263
208,48,102,6,132,0.043478,0.32,0.888889,0.32,0.111111,0.470588,0.1875,1.706667,0.915032
209,47,103,6,132,0.043478,0.313333,0.886792,0.313333,0.113208,0.463054,0.184028,1.702642,0.91794
210,46,104,6,132,0.043478,0.306667,0.884615,0.306667,0.115385,0.455446,0.180556,1.698462,0.919706
211,45,105,6,132,0.043478,0.3,0.882353,0.3,0.117647,0.447761,0.177083,1.694118,0.920952
212,45,105,5,133,0.036232,0.3,0.9,0.3,0.1,0.45,0.173611,1.728,0.92562
213,42,108,5,133,0.036232,0.28,0.893617,0.28,0.106383,0.426396,0.163194,1.715745,0.926457
214,41,109,5,133,0.036232,0.273333,0.891304,0.273333,0.108696,0.418367,0.159722,1.711304,0.926476
215,40,110,5,133,0.036232,0.266667,0.888889,0.266667,0.111111,0.410256,0.15625,1.706667,0.927364
216,40,110,4,134,0.028986,0.266667,0.909091,0.266667,0.090909,0.412371,0.152778,1.745455,0.932313
217,39,111,4,134,0.028986,0.26,0.906977,0.26,0.093023,0.404145,0.149306,1.741395,0.934126
218,38,112,4,134,0.028986,0.253333,0.904762,0.253333,0.095238,0.395833,0.145833,1.737143,0.935918
219,36,114,4,134,0.028986,0.24,0.9,0.24,0.1,0.378947,0.138889,1.728,0.936533
220,34,116,4,134,0.028986,0.226667,0.894737,0.226667,0.105263,0.361702,0.131944,1.717895,0.941334
