@relation ThresholdCurve,,,,,,,,,,,,,
,,,,,,,,,,,,,
@attribute Instance_number numeric,,,,,,,,,,,,,
@attribute 'True Positives' numeric,,,,,,,,,,,,,
@attribute 'False Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positives' numeric,,,,,,,,,,,,,
@attribute 'True Negatives' numeric,,,,,,,,,,,,,
@attribute 'False Positive Rate' numeric,,,,,,,,,,,,,
@attribute 'True Positive Rate' numeric,,,,,,,,,,,,,
@attribute Precision numeric,,,,,,,,,,,,,
@attribute Recall numeric,,,,,,,,,,,,,
@attribute Fallout numeric,,,,,,,,,,,,,
@attribute FMeasure numeric,,,,,,,,,,,,,
@attribute 'Sample Size' numeric,,,,,,,,,,,,,
@attribute Lift numeric,,,,,,,,,,,,,
@attribute Threshold numeric,,,,,,,,,,,,,
,,,,,,,,,,,,,
@data,,,,,,,,,,,,,
129,116,34,25,113,0.181159,0.773333,0.822695,0.773333,0.177305,0.797251,0.489583,1.579574,0.533257
130,116,34,23,115,0.166667,0.773333,0.834532,0.773333,0.165468,0.802768,0.482639,1.602302,0.533276
131,115,35,23,115,0.166667,0.766667,0.833333,0.766667,0.166667,0.798611,0.479167,1.6,0.533301
132,114,36,23,115,0.166667,0.76,0.832117,0.76,0.167883,0.794425,0.475694,1.597664,0.533322
133,113,37,22,116,0.15942,0.753333,0.837037,0.753333,0.162963,0.792982,0.46875,1.607111,0.533389
134,112,38,22,116,0.15942,0.746667,0.835821,0.746667,0.164179,0.788732,0.465278,1.604776,0.5335
135,111,39,22,116,0.15942,0.74,0.834586,0.74,0.165414,0.784452,0.461806,1.602406,0.533911
136,110,40,22,116,0.15942,0.733333,0.833333,0.733333,0.166667,0.780142,0.458333,1.6,0.534975
137,109,41,22,116,0.15942,0.726667,0.832061,0.726667,0.167939,0.775801,0.454861,1.597557,0.557968
138,108,42,22,116,0.15942,0.72,0.830769,0.72,0.169231,0.771429,0.451389,1.595077,0.585733
139,107,43,22,116,0.15942,0.713333,0.829457,0.713333,0.170543,0.767025,0.447917,1.592558,0.58664
140,107,43,21,117,0.152174,0.713333,0.835938,0.713333,0.164063,0.769784,0.444444,1.605,0.612429
141,106,44,21,117,0.152174,0.706667,0.834646,0.706667,0.165354,0.765343,0.440972,1.60252,0.614028
142,105,45,21,117,0.152174,0.7,0.833333,0.7,0.166667,0.76087,0.4375,1.6,0.619621
143,105,45,20,118,0.144928,0.7,0.84,0.7,0.16,0.763636,0.434028,1.6128,0.620451
144,104,46,20,118,0.144928,0.693333,0.83871,0.693333,0.16129,0.759124,0.430556,1.610323,0.679536
145,103,47,20,118,0.144928,0.686667,0.837398,0.686667,0.162602,0.754579,0.427083,1.607805,0.687895
146,102,48,20,118,0.144928,0.68,0.836066,0.68,0.163934,0.75,0.423611,1.605246,0.709364
147,101,49,20,118,0.144928,0.673333,0.834711,0.673333,0.165289,0.745387,0.420139,1.602645,0.746479
148,100,50,20,118,0.144928,0.666667,0.833333,0.666667,0.166667,0.740741,0.416667,1.6,0.76171
149,100,50,19,119,0.137681,0.666667,0.840336,0.666667,0.159664,0.743494,0.413194,1.613445,0.776192
150,100,50,18,120,0.130435,0.666667,0.847458,0.666667,0.152542,0.746269,0.409722,1.627119,0.801266
151,100,50,17,121,0.123188,0.666667,0.854701,0.666667,0.145299,0.749064,0.40625,1.641026,0.801703
152,99,51,17,121,0.123188,0.66,0.853448,0.66,0.146552,0.744361,0.402778,1.638621,0.814887
153,99,51,16,122,0.115942,0.66,0.86087,0.66,0.13913,0.74717,0.399306,1.65287,0.828712
154,98,52,16,122,0.115942,0.653333,0.859649,0.653333,0.140351,0.742424,0.395833,1.650526,0.836676
155,98,52,15,123,0.108696,0.653333,0.867257,0.653333,0.132743,0.745247,0.392361,1.665133,0.844822
156,97,53,14,124,0.101449,0.646667,0.873874,0.646667,0.126126,0.743295,0.385417,1.677838,0.851223
157,96,54,14,124,0.101449,0.64,0.872727,0.64,0.127273,0.738462,0.381944,1.675636,0.854261
158,95,55,14,124,0.101449,0.633333,0.87156,0.633333,0.12844,0.733591,0.378472,1.673394,0.855194
159,94,56,14,124,0.101449,0.626667,0.87037,0.626667,0.12963,0.728682,0.375,1.671111,0.857002
160,94,56,13,125,0.094203,0.626667,0.878505,0.626667,0.121495,0.731518,0.371528,1.686729,0.858448
161,93,57,13,125,0.094203,0.62,0.877358,0.62,0.122642,0.726563,0.368056,1.684528,0.859194
162,93,57,12,126,0.086957,0.62,0.885714,0.62,0.114286,0.729412,0.364583,1.700571,0.860294
163,93,57,11,127,0.07971,0.62,0.894231,0.62,0.105769,0.732283,0.361111,1.716923,0.860458
164,92,58,11,127,0.07971,0.613333,0.893204,0.613333,0.106796,0.727273,0.357639,1.714951,0.86084
165,92,58,10,128,0.072464,0.613333,0.901961,0.613333,0.098039,0.730159,0.354167,1.731765,0.862594
166,91,59,10,128,0.072464,0.606667,0.90099,0.606667,0.09901,0.7251,0.350694,1.729901,0.862937
167,90,60,10,128,0.072464,0.6,0.9,0.6,0.1,0.72,0.347222,1.728,0.863606
168,90,60,9,129,0.065217,0.6,0.909091,0.6,0.090909,0.722892,0.34375,1.745455,0.863877
169,89,61,8,130,0.057971,0.593333,0.917526,0.593333,0.082474,0.720648,0.336806,1.761649,0.864784
170,87,63,8,130,0.057971,0.58,0.915789,0.58,0.084211,0.710204,0.329861,1.758316,0.865854
171,86,64,8,130,0.057971,0.573333,0.914894,0.573333,0.085106,0.704918,0.326389,1.756596,0.865995
172,84,66,8,130,0.057971,0.56,0.913043,0.56,0.086957,0.694215,0.319444,1.753043,0.866176
173,83,67,8,130,0.057971,0.553333,0.912088,0.553333,0.087912,0.688797,0.315972,1.751209,0.866358
174,81,69,8,130,0.057971,0.54,0.910112,0.54,0.089888,0.677824,0.309028,1.747416,0.866474
175,79,71,8,130,0.057971,0.526667,0.908046,0.526667,0.091954,0.666667,0.302083,1.743448,0.866833
176,77,73,8,130,0.057971,0.513333,0.905882,0.513333,0.094118,0.655319,0.295139,1.739294,0.866954
177,76,74,8,130,0.057971,0.506667,0.904762,0.506667,0.095238,0.649573,0.291667,1.737143,0.866986
178,76,74,7,131,0.050725,0.506667,0.915663,0.506667,0.084337,0.652361,0.288194,1.758072,0.867026
179,75,75,7,131,0.050725,0.5,0.914634,0.5,0.085366,0.646552,0.284722,1.756098,0.867041
180,74,76,7,131,0.050725,0.493333,0.91358,0.493333,0.08642,0.640693,0.28125,1.754074,0.867042
181,74,76,6,132,0.043478,0.493333,0.925,0.493333,0.075,0.643478,0.277778,1.776,0.86713
182,73,77,6,132,0.043478,0.486667,0.924051,0.486667,0.075949,0.637555,0.274306,1.774177,0.867183
183,68,82,5,133,0.036232,0.453333,0.931507,0.453333,0.068493,0.609865,0.253472,1.788493,0.867222
184,67,83,5,133,0.036232,0.446667,0.930556,0.446667,0.069444,0.603604,0.25,1.786667,0.867231
185,66,84,5,133,0.036232,0.44,0.929577,0.44,0.070423,0.597285,0.246528,1.784789,0.867251
186,64,86,5,133,0.036232,0.426667,0.927536,0.426667,0.072464,0.584475,0.239583,1.78087,0.867259
187,64,86,4,134,0.028986,0.426667,0.941176,0.426667,0.058824,0.587156,0.236111,1.807059,0.867272
188,61,89,4,134,0.028986,0.406667,0.938462,0.406667,0.061538,0.567442,0.225694,1.801846,0.867287
