SA_temp_1E6
1792	2.929	3.227	3.331	3.271	3.398
2070	3.307	4.007	3.629	3.733	3.919
2390	3.909	4.331	4.360	3.916	4.761
2758	4.539	5.069	4.914	5.771	4.988
3181	5.216	5.685	5.845	6.450	5.886
3668	6.022	6.759	6.153	7.272	6.811
4228	6.961	7.778	6.877	8.609	7.564
4872	8.040	8.900	8.943	9.999	8.786
5612	9.167	10.060	11.272	11.493	10.469
6463	10.798	11.665	12.697	13.024	11.856
7442	17.993	13.760	12.705	15.097	13.134
8568	14.868	15.519	17.818	17.096	15.241
9863	16.220	17.892	20.127	20.328	17.877
11352	18.953	20.190	23.705	25.949	19.886
13064	21.713	23.521	26.702	25.966	22.665
15033	24.428	30.745	34.604	29.778	26.252
17297	28.020	36.983	32.636	33.751	30.131
19901	32.324	43.719	44.989	42.217	36.117
SA_rate_80
1	0.002	0.002	0.001	0.003	0.002
11	0.018	0.018	0.019	0.018	0.020
22	0.038	0.036	0.035	0.059	0.048
35	0.058	0.060	0.051	0.074	0.072
50	0.084	0.081	0.073	0.119	0.097
67	0.120	0.111	0.099	0.137	0.134
87	0.148	0.148	0.121	0.201	0.175
110	0.182	0.188	0.163	0.255	0.218
136	0.235	0.214	0.193	0.295	0.256
166	0.273	0.271	0.242	0.437	0.329
200	0.319	0.333	0.277	0.527	0.391
239	0.720	0.406	0.336	0.522	0.454
284	0.625	0.467	0.394	0.632	0.553
336	0.604	0.548	0.481	0.804	0.652
396	0.682	0.637	0.555	0.913	0.770
465	0.795	0.795	0.674	1.002	0.877
544	0.935	0.918	0.807	1.340	1.092
635	1.090	1.108	0.932	1.546	1.261
740	1.288	1.343	1.078	1.570	1.502
860	2.470	1.503	1.275	2.099	1.519
998	3.692	1.657	1.433	2.484	1.891
1157	2.789	2.213	1.652	2.874	2.249
1340	3.065	2.761	1.976	2.995	2.585
1550	3.362	2.887	2.308	4.160	2.911
1792	3.986	3.143	2.568	4.228	3.551
2070	4.420	3.738	2.989	4.741	3.853
2390	5.194	4.055	3.469	6.643	4.718
2758	6.044	4.721	3.924	6.370	5.410
3181	6.888	5.645	4.639	6.600	5.931
3668	7.889	6.481	5.365	8.801	6.932
4228	9.204	8.255	6.081	9.815	8.115
4872	10.284	10.413	7.040	14.277	9.380
5612	12.042	10.048	8.079	16.385	10.631
6463	13.842	11.685	9.324	14.288	12.236
7442	16.262	13.339	10.713	21.235	14.021
8568	18.790	15.564	12.428	24.401	16.147
9863	21.439	17.963	14.443	23.052	18.663
11352	24.584	19.395	17.311	25.595	21.351
13064	28.199	18.735	25.852	30.789	25.146
15033	32.644	21.648	27.723	44.580	28.536
17297	35.453	25.334	37.860	34.512	34.342
19901	33.448	28.815	44.047	38.814	36.790
SA_rate_90
1	0.002	0.002	0.002	0.001	0.002
11	0.021	0.023	0.022	0.017	0.019
22	0.045	0.040	0.044	0.036	0.035
35	0.068	0.081	0.069	0.052	0.058
50	0.094	0.107	0.097	0.070	0.082
67	0.129	0.126	0.130	0.098	0.106
87	0.159	0.167	0.165	0.126	0.141
110	0.214	0.212	0.210	0.156	0.185
136	0.252	0.266	0.269	0.196	0.229
166	0.319	0.313	0.319	0.236	0.283
200	0.388	0.376	0.380	0.291	0.315
239	0.454	0.453	0.447	0.352	0.381
284	0.525	0.545	0.550	0.412	0.450
336	0.684	0.634	0.642	0.501	0.540
396	0.763	0.746	0.760	0.593	0.646
465	0.858	0.882	0.964	0.690	0.738
544	1.012	1.029	1.046	0.809	0.871
635	1.193	1.196	1.223	0.953	0.995
740	1.534	1.413	1.426	1.090	1.188
860	1.652	1.633	1.668	1.282	1.355
998	1.916	1.883	1.961	1.472	1.581
1157	2.354	2.183	2.160	1.718	1.813
1340	2.611	2.552	2.179	1.988	2.160
1550	3.063	2.924	2.580	2.290	2.416
1792	3.487	3.325	3.164	2.618	2.778
2070	3.996	3.934	5.827	3.085	3.227
2390	4.680	4.459	4.425	3.527	3.700
2758	5.314	5.149	4.829	4.100	4.213
3181	5.913	6.036	5.995	4.675	4.969
3668	7.189	6.894	6.847	5.468	5.670
4228	8.024	8.016	7.505	6.282	6.481
4872	9.291	9.190	8.924	7.055	7.406
5612	10.566	10.878	10.400	8.074	8.600
6463	12.360	12.014	11.987	9.595	9.892
7442	14.092	17.155	12.865	11.037	11.517
